Bankleitzahl;Merkmal;Bezeichnung;PLZ;Ort;Kurzbezeichnung;PAN;BIC;Prüfzifferberechnungsmethode;Datensatznummer;Änderungskennzeichen;Bankleitzahllöschung;Nachfolge-Bankleitzahl
"78161575";"1";"Raiffeisenbank im Stiftland -alt-";"95645";"Waldsassen";"Raiffbk im Stiftland -alt-";"68120";"GENODEF1WSS";"88";"047551";"U";"0";"00000000"
"78320076";"1";"UniCredit Bank - HypoVereinsbank";"96402";"Coburg";"UniCredit Bank-HypoVereinbk";"22020";"HYVEDEMM480";"99";"032200";"U";"0";"00000000"
"78340091";"1";"Commerzbank";"96404";"Coburg";"Commerzbank Coburg";"24764";"COBADEFFXXX";"13";"031380";"U";"0";"00000000"
"78350000";"1";"Sparkasse Coburg-Lichtenfels";"96421";"Coburg";"Spk Coburg-Lichtenfels";"57292";"BYLADEM1COB";"00";"011323";"U";"0";"00000000"
"78360000";"1";"VR-Bank Coburg";"96416";"Coburg";"VR-Bank Coburg";"68158";"GENODEF1COS";"88";"050573";"U";"0";"00000000"
"79000000";"1";"Bundesbank";"97010";"Würzburg";"BBk Würzburg";"20790";"MARKDEF1790";"09";"011607";"U";"0";"00000000"
"79020076";"1";"UniCredit Bank - HypoVereinsbank";"97067";"Würzburg";"UniCredit Bank-HypoVereinbk";"22095";"HYVEDEMM455";"99";"000139";"U";"0";"00000000"
"79030001";"1";"Fürstlich Castellsche Bank Credit-Casse";"97070";"Würzburg";"Fürstl. Castellsche Bank";"99042";"FUCEDE77XXX";"09";"000044";"U";"0";"00000000"
"79032038";"1";"MERKUR PRIVATBANK";"97762";"Hammelburg";"MERKUR PRIVATBANK";"99013";"BSHADE71XXX";"00";"000055";"U";"0";"00000000"
"79040047";"1";"Commerzbank Würzburg";"97070";"Würzburg";"Commerzbank Würzburg";"24772";"COBADEFFXXX";"13";"010253";"U";"0";"00000000"
"79050000";"1";"Sparkasse Mainfranken Würzburg";"97067";"Würzburg";"Spk Mainfranken Würzburg";"57224";"BYLADEM1SWU";"00";"008653";"U";"0";"00000000"
"79063060";"1";"Raiffeisenbank Estenfeld-Bergtheim -alt-";"97230";"Estenfeld";"Raiffbk Estenfeld-B. -alt-";"68052";"GENODEF1EFD";"88";"024564";"U";"0";"00000000"
"79063122";"1";"Raiffeisenbank Höchberg";"97201";"Höchberg";"Raiffeisenbank Höchberg";"67107";"GENODEF1HBG";"88";"027564";"U";"0";"00000000"
"79065028";"1";"VR-Bank Bad Kissingen";"97688";"Bad Kissingen";"VR-Bank Bad Kissingen";"68122";"GENODEF1BRK";"88";"027381";"U";"0";"00000000"
"79069001";"1";"Raiffeisenbank Mainschleife - Steigerwald";"97332";"Volkach";"RB Mainschleife-Steigerwald";"67123";"GENODEF1WED";"88";"032566";"U";"0";"00000000"
"79069010";"1";"VR-Bank Schweinfurt -alt-";"97421";"Schweinfurt";"VR-Bank Schweinfurt -alt-";"67135";"GENODEF1ATE";"88";"024436";"U";"0";"00000000"
"79069031";"1";"Raiffeisenbank Bütthard-Gaukönigshofen";"97244";"Bütthard";"Raiffbk Bütthard-Gaukönigsh";"67164";"GENODEF1BHD";"88";"024499";"U";"0";"00000000"
"79069150";"1";"Raiffeisenbank Main-Spessart";"97816";"Lohr a. Main";"Raiffbk Main-Spessart";"67346";"GENODEF1GEM";"88";"027644";"U";"0";"00000000"
"79069165";"1";"VR-Bank Main-Rhön";"97526";"Sennfeld";"VR-Bank Main-Rhön";"67373";"GENODEF1MLV";"88";"027679";"U";"0";"00000000"
"79069181";"1";"Raiffeisenbank";"97720";"Nüdlingen";"Raiffeisenbank Nüdlingen";"67401";"GENODEF1NDL";"88";"027735";"U";"0";"00000000"
"79069188";"1";"Raiffeisenbank im Grabfeld";"97528";"Sulzdorf a.d.Lederhecke";"Raiffeisenbank im Grabfeld";"67409";"GENODEF1SLZ";"88";"027930";"U";"0";"00000000"
"79069213";"1";"Raiffeisenbank Maßbach";"97517";"Rannungen";"Raiffeisenbank Maßbach";"67436";"GENODEF1RNM";"88";"027813";"U";"0";"00000000"
"79070016";"1";"Deutsche Bank";"97004";"Würzburg";"Deutsche Bank";"27228";"DEUTDEMM790";"63";"006956";"U";"0";"00000000"
"79070024";"1";"Deutsche Bank";"97004";"Würzburg";"Deutsche Bank";"21228";"DEUTDEDB790";"63";"050354";"U";"0";"00000000"
"79080052";"1";"Commerzbank vormals Dresdner Bank";"97031";"Würzburg";"Commerzbank Würzburg";"28790";"DRESDEFF790";"76";"006808";"U";"0";"00000000"
"79080085";"1";"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 1";"97001";"Würzburg";"Commerzbank ITGK1 Würzbrg";;"DRESDEFFJ28";"09";"055212";"U";"0";"00000000"
