Bankleitzahl;Merkmal;Bezeichnung;PLZ;Ort;Kurzbezeichnung;PAN;BIC;Prüfzifferberechnungsmethode;Datensatznummer;Änderungskennzeichen;Bankleitzahllöschung;Nachfolge-Bankleitzahl
"10000000";"1";"Bundesbank";"10591";"Berlin";"BBk Berlin";"20100";"MARKDEF1100";"09";"011380";"U";"0";"00000000"
"10010010";"1";"Postbank Ndl der Deutsche Bank";"10559";"Berlin";"Postbank Ndl Deutsche Bank";"10010";"PBNKDEFFXXX";"24";"000538";"U";"0";"00000000"
"10010123";"1";"OLINDA Zweigniederlassung Deutschland";"10245";"Berlin";"Olinda, Berlin";;"QNTODEB2XXX";"09";"057478";"U";"0";"00000000"
"10010178";"1";"Revolut Bank, Zweigniederlassung Deutschland";"10117";"Berlin";"Revolut Bank, Berlin";;"REVODEB2XXX";"09";"057801";"U";"0";"00000000"
"10010200";"1";"Treezor, Berlin";"10785";"Berlin";"Treezor Berlin";"53144";"TRZODEB2XXX";"09";"057742";"U";"0";"00000000"
"10010300";"1";"Klarna Bank German Branch";"10115";"Berlin";"Klarna Bank, Berlin";;"KLRNDEBEXXX";"09";"057482";"U";"0";"00000000"
"10010424";"1";"Aareal Bank";"10666";"Berlin";"Aareal Bank";"26910";"AARBDE5W100";"09";"004795";"U";"0";"00000000"
"10010500";"1";"Noelse Pay";"10719";"Berlin";"Noelse Pay, Berlin";;"AFOPDEB2XXX";"09";"057532";"U";"0";"00000000"
"10010700";"1";"Financiere des Paiements Electroniques NL Deutschland";"10719";"Berlin";"FPE Deutschland";;"FPEGDEB2XXX";"09";"057719";"U";"0";"00000000"
"10011001";"1";"N26 Bank";"10179";"Berlin";"N26 Bank Berlin";;"NTSBDEB1XXX";"09";"056796";"U";"0";"00000000"
"10012345";"1";"Trade Republic Bank";"10119";"Berlin";"Trade Republic Bank, Berlin";;"TRBKDEBBXXX";"09";"057880";"U";"0";"00000000"
"10014000";"1";"Swan Zweigniederlassung Deutschland";"10117";"Berlin";"Swan Zndl Deutschland";;"SWNBDEBBXXX";"09";"057732";"U";"0";"00000000"
"10014001";"1";"Swan Zweigniederlassung Deutschland (Geschäftsfeld)";"10117";"Berlin";"Swan Zndl Deutschland";;"SWNBDEBBXXX";"09";"057733";"U";"0";"00000000"
"10017997";"1";"Holvi Payment Services Zweigniederlassung Deutschland";"10967";"Berlin";"Holvi - Berlin";;"HOLVDEB1XXX";"09";"057364";"U";"0";"00000000"
"10018000";"1";"Finom Payments Zweigniederlassung Deutschland";"10115";"Berlin";"Finom Payments";;"FNOMDEB2XXX";"09";"057823";"U";"0";"00000000"
"10019000";"1";"Adyen, German Branch";"10117";"Berlin";"Adyen Deutschland, Berlin";;"ADYBDEB2XXX";"09";"057856";"U";"0";"00000000"
"10020200";"1";"BHF-BANK";"10117";"Berlin";"BHF-BANK Berlin";"25155";"BHFBDEFF100";"60";"004794";"U";"0";"00000000"
"10020500";"1";"Bank für Sozialwirtschaft";"10178";"Berlin";"Bank für Sozialwirtschaft";"25013";"BFSWDE33BER";"09";"000530";"U";"0";"00000000"
"10020510";"1";"Bank für Sozialwirtschaft";"10178";"Berlin";"Sozialbank Berlin";;"BFSWDE33BER";"09";"056659";"U";"0";"00000000"
"10020520";"1";"Bank für Sozialwirtschaft";"10178";"Berlin";"Sozialbank Berlin";;"BFSWDE33BER";"09";"056662";"U";"0";"00000000"
"10020890";"1";"UniCredit Bank - HypoVereinsbank";"10896";"Berlin";"UniCredit Bank-HypoVereinbk";"22014";"HYVEDEMM488";"99";"039785";"U";"0";"00000000"
"10030200";"1";"Berlin Hyp";"10787";"Berlin";"Berlin Hyp";"26706";"BHYPDEB2XXX";"09";"037413";"U";"0";"00000000"
"10030400";"1";"ABK Allgemeine Beamten Bank";"10115";"Berlin";"ABK Bank Berlin";"25686";"ABKBDEB1XXX";"09";"044427";"U";"0";"00000000"
"10030500";"1";"M.M. Warburg & Co (vormals Bankhaus Löbbecke)";"20095";"Hamburg";"M.M. Warburg (Löbbecke)";"26225";"LOEBDEBBXXX";"09";"043961";"U";"0";"00000000"
"10030600";"1";"North Channel Bank";"55118";"Mainz";"North Channel Bank Mainz";"26205";"GENODEF1OGK";"88";"000532";"D";"0";"00000000"
"10030700";"1";"Eurocity Bank";"60311";"Frankfurt am Main";"Eurocity Bank";"99084";"DLGHDEB1XXX";"16";"044339";"U";"0";"00000000"
"10030730";"1";"Eurocity Bank Gf GAA";"60311";"Frankfurt am Main";"Eurocity Bank Gf GAA";;"DLGHDEB1XXX";"16";"057240";"U";"0";"00000000"
"10033300";"1";"Santander Consumer Bank";"10439";"Berlin";"Santander Bank Berlin";"29411";"SCFBDE33XXX";"09";"055979";"U";"0";"00000000"
"10040000";"1";"Commerzbank, Filiale Berlin 1";"10891";"Berlin";"Commerzbank Fil. Berlin 1";"24100";"COBADEBBXXX";"13";"024463";"U";"0";"00000000"
"10040005";"1";"Commerzbank, Filiale Berlin 3";"10891";"Berlin";"Commerzbank Fil. Berlin 3";"24001";"COBADEBBXXX";"13";"056713";"U";"0";"00000000"
"10040010";"1";"Commerzbank, CC SP";"10877";"Berlin";"Commerzbank CC SP, Berlin";;"COBADEFFXXX";"09";"056240";"U";"0";"00000000"
"10040048";"1";"Commerzbank GF-B48";"10891";"Berlin";"Commerzbank BER GF-B48";"24148";"COBADEFFXXX";"13";"055618";"U";"0";"00000000"
"10040060";"1";"Commerzbank Gf 160";"10891";"Berlin";"Commerzbank Gf 160 Berlin";"24101";"COBADEFFXXX";"09";"052880";"U";"0";"00000000"
"10040061";"1";"Commerzbank Gf 161";"10891";"Berlin";"Commerzbank Gf 161 Berlin";"24102";"COBADEFFXXX";"09";"052894";"U";"0";"00000000"
"10040062";"1";"Commerzbank CC";"10783";"Berlin";"Commerzbank CC Berlin";;"COBADEFFXXX";"09";"055826";"U";"0";"00000000"
"10040063";"1";"Commerzbank CC";"10783";"Berlin";"Commerzbank CC Berlin";;"COBADEFFXXX";"09";"055827";"U";"0";"00000000"
"10040085";"1";"Commerzbank, Gf Web-K";"10877";"Berlin";"Commerzbank Gf WK, Berlin";;"COBADEFFXXX";"13";"056368";"U";"0";"00000000"
"10045050";"1";"Commerzbank Service-BZ";"10785";"Berlin";"Commerzbank Service-BZ";;"COBADEFFXXX";"13";"050927";"U";"0";"00000000"
"10050000";"1";"Landesbank Berlin - Berliner Sparkasse";"10889";"Berlin";"LBB - Berliner Sparkasse";"51000";"BELADEBEXXX";"B8";"002745";"U";"0";"00000000"
"10050020";"1";"S-Kreditpartner, Berlin";"10715";"Berlin";"S-Kreditpartner, Berlin";"51002";"SKPADEB1XXX";"B8";"055974";"U";"0";"00000000"
"10050500";"1";"LBS Landesbausparkasse NordOst";"10405";"Berlin";"LBS NordOst";;"LBSODEB1BLN";"09";"046141";"M";"0";"00000000"
"10050999";"1";"DekaBank";"60040";"Frankfurt am Main";"DekaBank";;"DGZFDEFFBER";"09";"004788";"U";"0";"00000000"
"10060198";"1";"Pax-Bank";"14005";"Berlin";"Pax-Bank Berlin";"61335";"GENODED1PA6";"06";"047622";"U";"1";"37060193"
"10061006";"1";"Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ";"10117";"Berlin";"KD-Bank Berlin";;"GENODED1KDB";"09";"055270";"U";"0";"00000000"
"10070000";"1";"Deutsche Bank";"10883";"Berlin";"Deutsche Bank";"27060";"DEUTDEBBXXX";"63";"004787";"U";"0";"00000000"
"10070024";"1";"Deutsche Bank";"10883";"Berlin";"Deutsche Bank";"21060";"DEUTDEDBBER";"63";"049758";"U";"0";"00000000"
"10070100";"1";"Deutsche Bank";"10883";"Berlin";"Deutsche Bank";"27701";"DEUTDEBB101";"63";"053102";"U";"0";"00000000"
"10070124";"1";"Deutsche Bank";"10883";"Berlin";"Deutsche Bank";"21701";"DEUTDEDB101";"63";"053103";"U";"0";"00000000"
"10070324";"1";"Postbank/DSL Ndl der Deutsche Bank";"10117";"Berlin";"Postbank Ndl Deutsche Bank";"21397";"DEUTDEDBP30";"63";"057585";"U";"0";"00000000"
"10070397";"1";"Postbank/DSL Ndl der Deutsche Bank";"10117";"Berlin";"Postbank Ndl Deutsche Bank";"27397";"DEUTDEBBP30";"63";"057584";"U";"0";"00000000"
"10070398";"1";"Postbank/DSL Ndl der Deutsche Bank";"12105";"Berlin";"Postbank Ndl Deutsche Bank";"27398";"DEUTDEBBP31";"63";"057586";"U";"0";"00000000"
"10070399";"1";"Postbank/DSL Ndl der Deutsche Bank";"13125";"Berlin";"Postbank Ndl Deutsche Bank";"27399";"DEUTDEBBP32";"63";"057587";"U";"0";"00000000"
"10070848";"1";"Deutsche Bank";"10623";"Berlin";"Deutsche Bank";"21848";"DEUTDEDB110";"63";"055502";"U";"0";"00000000"
"10071324";"1";"Postbank/DSL Ndl der Deutsche Bank";"12105";"Berlin";"Postbank Ndl Deutsche Bank";"21398";"DEUTDEDBP31";"63";"057602";"U";"0";"00000000"
"10072324";"1";"Postbank/DSL Ndl der Deutsche Bank";"13125";"Berlin";"Postbank Ndl Deutsche Bank";"21399";"DEUTDEDBP32";"63";"057588";"U";"0";"00000000"
"10077777";"1";"norisbank";"10625";"Berlin";"norisbank";"21431";"NORSDE51XXX";"63";"053532";"U";"0";"00000000"
"10080000";"1";"Commerzbank vormals Dresdner Bank Filiale Berlin I";"10877";"Berlin";"Commerzbank Fil I Berlin";"28100";"DRESDEFF100";"76";"024465";"U";"0";"00000000"
"10080005";"1";"Commerzbank vormals Dresdner Bank Zw A";"10623";"Berlin";"Commerzbank Berlin Zw A";;"DRESDEFFI26";"76";"046513";"U";"0";"00000000"
"10080006";"1";"Commerzbank vormals Dresdner Bank Zw B";"10623";"Berlin";"Commerzbank Berlin Zw B";;"DRESDEFFXXX";"76";"046514";"U";"0";"00000000"
"10080055";"1";"Commerzbank vormals Dresdner Bank Zw 55";"10623";"Berlin";"Commerzbank Zw 55 Berlin";"28101";"DRESDEFF112";"76";"053527";"U";"0";"00000000"
"10080057";"1";"Commerzbank vormals Dresdner Bank Gf ZW 57";"10877";"Berlin";"Commerzbk ZW 57 Berlin";"28103";"DRESDEFF114";"76";"053520";"U";"0";"00000000"
"10080085";"1";"Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3";"10877";"Berlin";"Commerzbank ITKG3 Berlin";;"DRESDEFFI53";"09";"054940";"U";"0";"00000000"
"10080086";"1";"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4";"10877";"Berlin";"Commerzbank ITGK4 Berlin";;"DRESDEFFI71";"09";"055157";"U";"0";"00000000"
"10080087";"1";"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5";"10877";"Berlin";"Commerzbank ITGK5 Berlin";;"DRESDEFFI72";"09";"055158";"U";"0";"00000000"
"10080088";"1";"Commerzbank vormals Dresdner Bank IBLZ";"10623";"Berlin";"Commerzbank IBLZ Berlin";;"DRESDEFFXXX";"76";"044595";"U";"0";"00000000"
"10080089";"1";"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6";"10877";"Berlin";"Commerzbank ITGK6 Berlin";;"DRESDEFFI73";"09";"055159";"U";"0";"00000000"
"10080900";"1";"Commerzbank vormals Dresdner Bank Filiale Berlin III";"10877";"Berlin";"Commerzbk Fil III Berlin";"28109";"DRESDEFF199";"76";"000534";"U";"0";"00000000"
"10089260";"1";"Commerzbank vormals Dresdner Bank ITGK";"10877";"Berlin";"Commerzbank ITGK Berlin";;"DRESDEFFI14";"09";"050474";"U";"0";"00000000"
"10089999";"1";"Commerzbank vormals Dresdner Bank ITGK 2";"10117";"Berlin";"Commerzbank ITGK 2 Berlin";;"DRESDEFFI99";"09";"052938";"U";"0";"00000000"
"10090000";"1";"Berliner Volksbank";"10892";"Berlin";"Berliner VB Berlin";"91001";"BEVODEBBXXX";"06";"023299";"U";"0";"00000000"
"10090300";"1";"Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer";"13353";"Berlin";"Bk f Schiffahrt BFS Berlin";;"GENODEF1BSB";"09";"021629";"U";"1";"00000000"
"10090900";"1";"PSD Bank Berlin-Brandenburg";"12154";"Berlin";"PSD Bank Berlin";"91008";"GENODEF1P01";"91";"024464";"U";"0";"00000000"
"10110300";"1";"Westend Bank";"60599";"Frankfurt am Main";"Westend Bank";"26240";"MACODEB1XXX";"09";"000536";"U";"0";"00000000"
"10110400";"1";"Investitionsbank Berlin";"10702";"Berlin";"Investitionsbank Berlin";;"IBBBDEBBXXX";"09";"000537";"U";"0";"00000000"
"10110600";"1";"Quirin Privatbank";"10711";"Berlin";"Quirin Privatbank Berlin";"25207";"QUBKDEBBXXX";"17";"049702";"U";"0";"00000000"
"10120100";"1";"Weberbank";"10893";"Berlin";"Weberbank";"51012";"WELADED1WBB";"94";"013621";"U";"0";"00000000"
"10130600";"1";"Isbank Fil Berlin";"13353";"Berlin";"Isbank Berlin";"29835";"ISBKDEFXXXX";"06";"043850";"U";"0";"00000000"
"10130800";"1";"flatexDEGIRO Bank";"60312";"Frankfurt am Main";"flatex Bank, Frankfurt";"25185";"BIWBDE33XXX";"01";"050620";"U";"0";"00000000"
"10220500";"1";"Lloyds Bank";"10178";"Berlin";"Lloyds Bank";;"BOFSDEB1XXX";"00";"056412";"U";"0";"00000000"
"10220600";"1";"Sydbank Filiale Berlin";"24937";"Flensburg";"Sydbank Berlin";;"SYBKDE22BER";"19";"056217";"U";"0";"00000000"
"10310600";"1";"Tradegate - Wertpapierhandelsbank Berlin";"10711";"Berlin";"Tradegate Berlin";"25257";"TRDADEB1PBK";"09";"055068";"M";"0";"00000000"
"10310666";"1";"Tradegate Wertpapierhandelsbank, GF DIR";"10711";"Berlin";"Tradegate GF DIR";;"TRDADEBBDIR";"09";"057661";"U";"0";"00000000"
"10320700";"1";"MANGOPAY German Branch";"10719";"Berlin";"MANGOPAY BERLIN";;"MPAYDEB2XXX";"09";"057854";"U";"0";"00000000"
"11010100";"1";"solarisBank";"10997";"Berlin";"solarisBank";;"SOBKDEBBXXX";"09";"056731";"U";"0";"00000000"
"11010101";"1";"solarisBank Gf (S)";"10178";"Berlin";"solarisBank Gf (S)";;"SOBKDEB2XXX";"09";"057373";"U";"0";"00000000"
"11010111";"1";"solarisBank Gf (PNTA)";"10997";"Berlin";"solarisBank Gf (PNTA)";;"PNTADEBBXXX";"09";"057650";"U";"0";"00000000"
"12016836";"1";"KfW Kreditanstalt für Wiederaufbau";"10117";"Berlin";"KfW Berlin";;"KFWIDEFF100";"09";"045444";"U";"0";"00000000"
"12030000";"1";"Deutsche Kreditbank Berlin";"10117";"Berlin";"Deutsche Kreditbank Berlin";"51011";"BYLADEM1001";"00";"046023";"U";"0";"00000000"
"12030900";"1";"Merck Finck A Quintet Private Bank";"10719";"Berlin";"Merck Finck";"26249";"MEFIDEMM100";"10";"047484";"U";"0";"00000000"
"12040000";"1";"Commerzbank Filiale Berlin 2";"10891";"Berlin";"Commerzbank Fil. Berlin 2";"24120";"COBADEBB120";"13";"044795";"U";"0";"00000000"
"12050555";"1";"ZVA Norddeutsche Landesbank Gf SA";"30151";"Hannover";"ZVA NORD LB Gf SA";;"NOLADE21DVS";"09";"047224";"U";"0";"00000000"
"12060000";"1";"DZ BANK";"10001";"Berlin";"DZ BANK";;"GENODEFF120";"09";"044802";"U";"0";"00000000"
"12070000";"1";"Deutsche Bank";"14405";"Potsdam";"Deutsche Bank";"27704";"DEUTDEBB160";"63";"044796";"U";"0";"00000000"
"12070024";"1";"Deutsche Bank";"14405";"Potsdam";"Deutsche Bank";"21704";"DEUTDEDB160";"63";"049761";"U";"0";"00000000"
"12070070";"1";"Deutsche Bank";"14405";"Potsdam";"Deutsche Bank";;"DEUTDEFFVAC";"09";"056253";"U";"0";"00000000"
"12070088";"1";"Deutsche Bank";"14405";"Potsdam";"Deutsche Bank";;"DEUTDEDBPAL";"09";"056254";"U";"0";"00000000"
"12070400";"1";"Postbank/DSL Ndl der Deutsche Bank";"03046";"Cottbus";"Postbank Ndl Deutsche Bank";"27400";"DEUTDEBBP33";"63";"057589";"U";"0";"00000000"
"12070424";"1";"Postbank/DSL Ndl der Deutsche Bank";"03046";"Cottbus";"Postbank Ndl Deutsche Bank";"21400";"DEUTDEDBP33";"63";"057590";"U";"0";"00000000"
"12080000";"1";"Commerzbank vormals Dresdner Bank Filiale Berlin II";"10623";"Berlin";"Commerzbank Fil II Berlin";"28120";"DRESDEFF120";"76";"044797";"U";"0";"00000000"
"12096597";"1";"Sparda-Bank Berlin";"10117";"Berlin";"Sparda-Bank Berlin";"91055";"GENODEF1S10";"A8";"045032";"U";"0";"00000000"
"13000000";"1";"Bundesbank";"18004";"Rostock";"BBk Rostock";"20130";"MARKDEF1130";"09";"044864";"U";"0";"00000000"
"13040000";"1";"Commerzbank";"18006";"Rostock";"Commerzbank Rostock";"24130";"COBADEFFXXX";"13";"044861";"U";"0";"00000000"
"13050000";"1";"Ostseesparkasse Rostock";"18004";"Rostock";"Ostseesparkasse Rostock";"51399";"NOLADE21ROS";"20";"048659";"U";"0";"00000000"
"13051042";"1";"Sparkasse Vorpommern auf Rügen";"18525";"Bergen auf Rügen";"Spk Vorpommern auf Rügen";"51303";"NOLADE21RUE";"C0";"045242";"U";"0";"00000000"
"13061008";"1";"Volksbank Wolgast -alt-";"17438";"Wolgast";"Volksbank Wolgast -alt-";"61260";"GENODEF1WOG";"32";"045675";"U";"0";"00000000"
"13061078";"1";"Volks- und Raiffeisenbank";"23952";"Wismar";"VB u Raiffbk";"61286";"GENODEF1HWI";"32";"045680";"U";"0";"00000000"
"13061088";"1";"Raiffeisenbank Wismar -alt-";"23952";"Wismar";"VB u Raiffbk -alt-";"61315";"GENODEF1HWR";"32";"045681";"U";"1";"13061078"
"13061128";"1";"Raiffeisenbank";"18209";"Bad Doberan";"Raiffeisenbank Bad Doberan";"61288";"GENODEF1DBR";"32";"045683";"U";"1";"14061308"
"13070000";"1";"Deutsche Bank";"18002";"Rostock";"Deutsche Bank";"27707";"DEUTDEBRXXX";"63";"044862";"U";"0";"00000000"
"13070024";"1";"Deutsche Bank";"18002";"Rostock";"Deutsche Bank";"21707";"DEUTDEDBROS";"63";"049820";"U";"0";"00000000"
"13070405";"1";"Postbank/DSL Ndl der Deutsche Bank";"19053";"Schwerin";"Postbank Ndl Deutsche Bank";"27405";"DEUTDEBBP35";"63";"057594";"U";"0";"00000000"
"13070424";"1";"Postbank/DSL Ndl der Deutsche Bank";"19053";"Schwerin";"Postbank Ndl Deutsche Bank";"21405";"DEUTDEDBP35";"63";"057595";"U";"0";"00000000"
"13080000";"1";"Commerzbank vormals Dresdner Bank";"18010";"Rostock";"Commerzbank Rostock";"28130";"DRESDEFF130";"76";"044863";"U";"0";"00000000"
"13090000";"1";"Rostocker Volks- und Raiffeisenbank -alt-";"18003";"Rostock";"Rostocker VR Bank -alt-";"91063";"GENODEF1HR1";"32";"050596";"U";"0";"00000000"
"13091054";"1";"Volksbank Vorpommern";"18439";"Stralsund";"Volksbank Vorpommern";"91054";"GENODEF1HST";"32";"045009";"U";"0";"00000000"
"13091084";"1";"Volksbank Wismar -alt-";"23952";"Wismar";"VB u Raiffbk -alt-";;"GENODEF1HWV";"06";"045015";"U";"1";"13061078"
"14040000";"1";"Commerzbank";"19055";"Schwerin";"Commerzbank Schwerin";"24140";"COBADEFFXXX";"13";"046008";"U";"0";"00000000"
"14051000";"1";"Sparkasse Mecklenburg-Nordwest";"23951";"Wismar";"Spk Mecklenburg-Nordwest";"51499";"NOLADE21WIS";"20";"048818";"U";"0";"00000000"
"14051362";"1";"Sparkasse Parchim-Lübz";"19370";"Parchim";"Sparkasse Parchim-Lübz";"51404";"NOLADE21PCH";"20";"045251";"U";"0";"00000000"
"14051462";"1";"Sparkasse Schwerin -alt-";"19053";"Schwerin";"Sparkasse Schwerin -alt-";"51409";"NOLADE21SNS";"C0";"045246";"U";"0";"00000000"
"14052000";"1";"Sparkasse Mecklenburg-Schwerin";"19053";"Schwerin";"Spk Mecklenburg-Schwerin";"51498";"NOLADE21LWL";"20";"048910";"U";"0";"00000000"
"14061308";"1";"VR Bank Mecklenburg";"18055";"Rostock";"VR Bank Mecklenburg";"61289";"GENODEF1GUE";"32";"045694";"U";"0";"00000000"
"14061438";"1";"Raiffeisen-Volksbank -alt-";"19205";"Gadebusch";"Raiffeisen-VB Gadebusch-alt";"61311";"GENODEF1GDB";"32";"045702";"U";"0";"00000000"
"14080000";"1";"Commerzbank vormals Dresdner Bank";"19006";"Schwerin";"Commerzbank Schwerin";"28140";"DRESDEFF140";"76";"044866";"U";"0";"00000000"
"14080011";"1";"Commerzbank vormals Dresdner Bank Zw W";"19006";"Schwerin";"Commerzbank Schwerin Zw W";;"DRESDEFFI27";"76";"046780";"U";"0";"00000000"
"14091464";"1";"VR-Bank -alt-";"19055";"Schwerin";"VR-Bank Schwerin -alt-";"91044";"GENODEF1SN1";"32";"044999";"U";"0";"00000000"
"15000000";"1";"Bundesbank";"17020";"Neubrandenburg";"BBk Neubrandenburg";"20150";"MARKDEF1150";"09";"044851";"U";"0";"00000000"
"15040068";"1";"Commerzbank";"17019";"Neubrandenburg";"Commerzbank Neubrandenburg";"24151";"COBADEFFXXX";"13";"045999";"U";"0";"00000000"
"15050100";"1";"Müritz-Sparkasse";"17181";"Waren (Müritz)";"Müritz-Sparkasse Waren";"51514";"NOLADE21WRN";"20";"045257";"U";"0";"00000000"
"15050200";"1";"Sparkasse Neubrandenburg-Demmin";"17041";"Neubrandenburg";"Spk Neubrandenburg-Demmin";"51515";"NOLADE21NBS";"20";"047492";"U";"0";"00000000"
"15050400";"1";"Sparkasse Uecker-Randow";"17309";"Pasewalk";"Sparkasse Uecker-Randow";"51598";"NOLADE21PSW";"20";"049128";"M";"0";"00000000"
"15050500";"1";"Sparkasse Vorpommern";"17462";"Greifswald";"Spk Vorpommern";"51597";"NOLADE21GRW";"20";"050482";"U";"0";"00000000"
"15051732";"1";"Sparkasse Mecklenburg-Strelitz";"17235";"Neustrelitz";"Spk Mecklenburg-Strelitz";"51512";"NOLADE21MST";"C0";"045268";"U";"0";"00000000"
"15061618";"1";"Raiffeisenbank Mecklenburger Seenplatte";"17192";"Waren (Müritz)";"Raiffbk Mecklenb Seenplatte";"61261";"GENODEF1WRN";"32";"045935";"U";"0";"00000000"
"15061638";"1";"Volksbank Vorpommern -alt-";"17489";"Greifswald";"VB Vorpommern -alt-";"61265";"GENODEF1ANK";"32";"050708";"U";"0";"00000000"
"15061698";"1";"Raiffeisenbank Malchin -alt-";"17131";"Malchin";"Raiffeisenbank Malchin-alt-";"61247";"GENODEF1MAL";"32";"045943";"U";"0";"00000000"
"15080000";"1";"Commerzbank vormals Dresdner Bank";"17033";"Neubrandenburg";"Commerzbank Neubrandenbg";"28150";"DRESDEFF150";"76";"046451";"U";"0";"00000000"
"15091674";"1";"Volksbank Demmin";"17109";"Demmin, Hansestadt";"Volksbank Demmin";"91048";"GENODEF1DM1";"06";"044904";"U";"0";"00000000"
"15091704";"1";"VR-Bank Uckermark-Randow";"17291";"Prenzlau";"VR-Bank Uckermark-Randow";"91045";"GENODEF1PZ1";"06";"044986";"U";"0";"00000000"
"16010300";"1";"Investitionsbank des Landes Brandenburg";"14473";"Potsdam";"Investitionsbk Potsdam";;"ILBXDE8XXXX";"09";"051394";"U";"0";"00000000"
"16020086";"1";"UniCredit Bank - HypoVereinsbank";"14467";"Potsdam";"UniCredit Bank-HypoVereinbk";"22102";"HYVEDEMM470";"99";"045914";"U";"0";"00000000"
"16040000";"1";"Commerzbank";"14402";"Potsdam";"Commerzbank Potsdam";"24160";"COBADEFFXXX";"13";"045968";"U";"0";"00000000"
"16050000";"1";"Mittelbrandenburgische Sparkasse in Potsdam";"14459";"Potsdam";"Mittelbrandenbg Sparkasse";"51699";"WELADED1PMB";"20";"047629";"U";"0";"00000000"
"16050101";"1";"Sparkasse Prignitz";"16928";"Pritzwalk";"Sparkasse Prignitz";"51698";"WELADED1PRP";"20";"048170";"U";"0";"00000000"
"16050202";"1";"Sparkasse Ostprignitz-Ruppin";"16816";"Neuruppin";"Spk Ostprignitz-Ruppin";"51697";"WELADED1OPR";"20";"048172";"U";"0";"00000000"
"16050500";"1";"LBS Landesbausparkasse NordOst";"14463";"Potsdam";"LBS NordOst";;"LBSODEB1XXX";"09";"047431";"M";"0";"00000000"
"16060122";"1";"Volks- und Raiffeisenbank Prignitz";"19348";"Perleberg";"Volks- u Raiffbk Prignitz";"61336";"GENODEF1PER";"32";"049339";"U";"0";"00000000"
"16061938";"1";"Raiffeisenbank Ostprignitz-Ruppin";"16803";"Neuruppin";"Raiffeisenbank Ostpr-Ruppin";"61259";"GENODEF1NPP";"32";"045723";"U";"0";"00000000"
"16062008";"1";"VR-Bank Fläming-Elsterland";"14943";"Luckenwalde";"VR-Bank Fläming-Elsterland";"61321";"GENODEF1LUK";"28";"045728";"U";"0";"00000000"
"16062073";"1";"Brandenburger Bank";"14770";"Brandenburg an der Havel";"Brandenburger Bank";"61293";"GENODEF1BRB";"32";"045079";"U";"0";"00000000"
"16080000";"1";"Commerzbank vormals Dresdner Bank";"14467";"Potsdam";"Commerzbank Potsdam";"28160";"DRESDEFF160";"76";"044857";"U";"0";"00000000"
"16091994";"1";"Volksbank Rathenow";"14712";"Rathenow";"Volksbank Rathenow";"91025";"GENODEF1RN1";"32";"044990";"U";"0";"00000000"
"17020086";"1";"UniCredit Bank - HypoVereinsbank";"15230";"Frankfurt (Oder)";"UniCredit Bank-HypoVereinbk";"22106";"HYVEDEMM471";"99";"046112";"U";"0";"00000000"
"17040000";"1";"Commerzbank";"15230";"Frankfurt (Oder)";"Commerzbank Frankfurt Oder";"24170";"COBADEFFXXX";"13";"044822";"U";"0";"00000000"
"17052000";"1";"Sparkasse Barnim";"16204";"Eberswalde";"Sparkasse Barnim Eberswalde";"51799";"WELADED1GZE";"20";"048411";"U";"0";"00000000"
"17052302";"1";"Stadtsparkasse Schwedt";"16303";"Schwedt/Oder";"St Spk Schwedt";"51700";"WELADED1UMX";"C0";"045297";"U";"0";"00000000"
"17054040";"1";"Kreissparkasse Märkisch-Oderland";"15344";"Strausberg";"Spk Märkisch-Oderland";"51797";"WELADED1MOL";"20";"048844";"U";"0";"00000000"
"17055050";"1";"Sparkasse Oder-Spree";"15203";"Frankfurt (Oder)";"Sparkasse Oder-Spree";"51796";"WELADED1LOS";"20";"049135";"U";"0";"00000000"
"17056060";"1";"Sparkasse Uckermark";"17291";"Prenzlau";"Spk Uckermark Prenzlau";"51798";"WELADED1UMP";"20";"048845";"U";"0";"00000000"
"17062428";"1";"Raiffeisenbank-Volksbank Oder-Spree";"15848";"Beeskow";"Raiff-VB Oder-Spree Beeskow";"61250";"GENODEF1BKW";"32";"045744";"U";"0";"00000000"
"17080000";"1";"Commerzbank vormals Dresdner Bank";"15205";"Frankfurt (Oder)";"Commerzbank Frankfurt, O";"28170";"DRESDEFF170";"76";"044823";"U";"0";"00000000"
"17092404";"1";"VR Bank Fürstenwalde Seelow Wriezen";"15501";"Fürstenwalde/Spree";"VR Bank Fürstenwalde";"91049";"GENODEF1FW1";"32";"044923";"U";"0";"00000000"
"18020086";"1";"UniCredit Bank - HypoVereinsbank";"03046";"Cottbus";"UniCredit Bank-HypoVereinbk";"22107";"HYVEDEMM472";"99";"046113";"U";"0";"00000000"
"18040000";"1";"Commerzbank";"03003";"Cottbus";"Commerzbank Cottbus";"24180";"COBADEFFXXX";"13";"045976";"U";"0";"00000000"
"18050000";"1";"Sparkasse Spree-Neiße";"03006";"Cottbus";"Sparkasse Spree-Neiße";"51898";"WELADED1CBN";"20";"049025";"U";"0";"00000000"
